handle,label,chain,networkId,realPoints,stepsReturned,serviceCount,firstRealAt,firstRealUsd,lastRealAt,lastRealUsd,spanDays,chainLatestUsd,shareOfHoldings,chainPricedShare,chainReasonInAllChainsAnswer,status,drawable,usablePoints,drawingReason,answerRefused,pointRefusalReasons,trackedSince,basisOfRealPoints,chainsHeldByTrader,failed
0xkuidian,葵殿,robinhood,4663,1,28,28,2026-09-03T00:00:00.000Z,77.32,2026-09-03T00:00:00.000Z,77.32,0,,,0,no_prices,ready,false,1,no_prices,no_prices,no_prices x27,2026-09-10T14:00:00.000Z,rebuilt x1,3,
gmgn_0x8aa002b1,,(all chains),,9,28,28,2026-08-27T00:00:00.000Z,314.13,2026-09-10T16:00:00.000Z,144.03,15,144.03,,,,warming,false,9,short_coverage,,chains_unrebuildable x19,2026-09-10T16:00:00.000Z,rebuilt x8; sampled x1,1,
gmgn_0x8aa002b1,,robinhood,4663,9,28,28,2026-08-27T00:00:00.000Z,314.13,2026-09-10T16:00:00.000Z,144.03,15,144.03,1.0000,1,,warming,false,9,short_coverage,,no_prices x19,2026-09-10T16:00:00.000Z,rebuilt x8; sampled x1,1,
gmgn_2pzyqrvv7w,,(all chains),,28,28,28,2026-08-14T00:00:00.000Z,5714.60,2026-09-10T16:00:00.000Z,131.52,28,131.52,,,,warming,false,28,short_coverage,,,2026-09-10T16:00:00.000Z,rebuilt x27; sampled x1,1,
gmgn_2pzyqrvv7w,,solana,1399811149,1,1,1,2026-09-10T16:00:00.000Z,131.52,2026-09-10T16:00:00.000Z,131.52,0,131.52,1.0000,0.6154,,warming,false,1,warming,,,2026-09-10T16:00:00.000Z,sampled x1,1,
gmgn_0x9ec2f5e6,,(all chains),,5,28,28,2026-08-28T00:00:00.000Z,50.63,2026-09-10T16:00:00.000Z,130.00,14,130.00,,,,warming,false,5,short_coverage,,chains_unrebuildable x23,2026-09-10T16:00:00.000Z,rebuilt x4; sampled x1,3,
gmgn_0x9ec2f5e6,,robinhood,4663,16,28,28,2026-08-26T00:00:00.000Z,18.98,2026-09-10T16:00:00.000Z,58.98,16,58.98,0.4537,0.6667,,warming,false,16,short_coverage,,no_prices x12,2026-09-10T16:00:00.000Z,rebuilt x15; sampled x1,3,
gmgn_0x9ec2f5e6,,ethereum,1,9,28,28,2026-08-28T00:00:00.000Z,29.91,2026-09-10T16:00:00.000Z,38.88,14,38.88,0.2991,0.2727,,warming,false,9,short_coverage,,(no reason given) x16; no_prices x3,2026-09-10T16:00:00.000Z,rebuilt x8; sampled x1,3,
gmgn_0x9ec2f5e6,,bsc,56,9,28,28,2026-08-15T00:00:00.000Z,88.55,2026-09-10T16:00:00.000Z,32.14,27,32.14,0.2472,0.3333,,warming,false,9,short_coverage,,(no reason given) x16; no_prices x3,2026-09-10T16:00:00.000Z,rebuilt x8; sampled x1,3,
gmgn_0xb6413625,,(all chains),,8,28,28,2026-08-26T00:00:00.000Z,185.83,2026-09-10T16:00:00.000Z,129.20,16,129.20,,,,warming,false,8,short_coverage,,chains_unrebuildable x20,2026-09-10T16:00:00.000Z,rebuilt x7; sampled x1,1,
gmgn_0xb6413625,,robinhood,4663,16,28,28,2026-08-26T00:00:00.000Z,168.82,2026-09-10T16:00:00.000Z,129.20,16,129.20,1.0000,0.5,,warming,false,16,short_coverage,,no_prices x12,2026-09-10T16:00:00.000Z,rebuilt x15; sampled x1,1,
yodacalls,Yoda,(all chains),,3,28,28,2026-09-02T00:00:00.000Z,626.81,2026-09-10T16:00:00.000Z,126.74,9,126.74,,,,warming,false,3,short_coverage,,chains_unrebuildable x25,2026-09-10T16:00:00.000Z,rebuilt x2; sampled x1,2,
yodacalls,Yoda,ethereum,1,9,28,28,2026-08-21T00:00:00.000Z,500.61,2026-09-10T16:00:00.000Z,126.74,21,126.74,1.0000,0.25,,warming,false,9,short_coverage,,(no reason given) x13; no_prices x6,2026-09-10T16:00:00.000Z,rebuilt x8; sampled x1,2,
yodacalls,Yoda,robinhood,4663,17,28,28,2026-08-24T00:00:00.000Z,0.92,2026-09-09T00:00:00.000Z,7.40,16,,,0,no_prices,warming,false,17,short_coverage,no_prices,no_prices x11,2026-09-10T16:00:00.000Z,rebuilt x17,2,
